ano,pais,electricidad,poblacion,cultivos,desempleo,hambre
YR2010,Brazil,98.6,23.4924866058716,6.15029181133602,8.034,3.7
YR2010,Costa Rica,98.995734,90.5258911084998,4.40658049353701,7.17,4.6
YR2010,Mexico,99.236696,57.8885264538697,11.7971141233056,5.3,4.8
"YR2010,""Venezuela, RB"",99.0850448608398,32.5548687716116,2.94767870302137,7.11,2.5"
YR2010,Ecuador,97.462142,60.354263971654,4.77693670478338,4.09,12.3
YR2010,Colombia,96.788995,40.3930671473637,1.58900405588103,10.98,12.9
YR2010,Paraguay,97.43086,14.5195393908885,10.0050339793607,4.57,7.7
YR2010,Peru,88.123061,22.835603125,3.793984375,3.6,8.7
YR2010,Bolivia,87.9524154663086,9.43715498938429,3.90796639896612,2.614,20.4
YR2011,United States,100.0,34.0624439459432,17.0935629937184,8.95,2.5
YR2011,Canada,100.0,3.83012473244929,4.15867778919179,7.51,2.5
YR2011,Chile,99.588193,23.0972883480469,1.71743919562305,7.32,3.3
YR2011,Argentina,99.0342864990234,15.0771515955406,14.1143132762571,7.18,2.9
YR2011,Uruguay,99.17,19.2071591818078,13.4384641755228,6.31,2.5
YR2011,Brazil,99.328691,23.711651396124,6.22471028243126,7.58,3.2
YR2011,Costa Rica,99.232348,91.6554249902076,4.5436741088915,9.52,5.0
YR2011,Mexico,99.0047225952148,58.7208935415006,11.6854857378019,5.17,4.7
"YR2011,""Venezuela, RB"",98.84,32.9869723938552,2.94767870302137,6.9,2.5"
YR2011,Ecuador,96.872699,61.3533902399742,4.65332581736189,3.46,8.4
YR2011,Colombia,96.6936,40.8372230734565,1.42947273546643,10.11,12.3
YR2011,Paraguay,98.23656,14.70913415555,10.375031462371,4.67,7.2
YR2011,Peru,89.707491,23.02946953125,3.82046875,3.48,7.7
YR2011,Bolivia,88.335943,9.59683005630943,3.99243053632419,2.25,17.3
YR2012,United States,100.0,34.3132448275033,16.9454884546681,8.07,2.5
YR2012,Canada,100.0,3.87193949310642,4.18645064072749,7.29,2.5
YR2012,Chile,100.0,23.323503225147,1.7228095092074,6.64,3.1
YR2012,Argentina,99.143798828125,15.2495426957383,14.4784027419985,7.22,2.8
YR2012,Uruguay,99.6,19.2614158381899,12.3414466918067,6.45,2.5
YR2012,Brazil,99.519494,23.9261016206955,6.29924839737071,7.25,3.0
YR2012,Costa Rica,99.503298,92.7652369761065,4.5436741088915,9.11,5.0
YR2012,Mexico,99.111637,59.5467522312817,11.6011214280203,4.89,4.6
"YR2012,""Venezuela, RB"",99.2751007080078,33.4112873419874,2.94767870302137,6.6,2.5"
YR2012,Ecuador,97.194929,62.3445119987115,4.62191979384764,3.23,8.8
YR2012,Colombia,97.032176,41.2640081117621,1.39071653898152,9.74,10.7
YR2012,Paraguay,97.835616,14.9089403473446,10.9740750062925,4.09,7.2
YR2012,Peru,91.099508,23.24186640625,3.847,3.24,6.7
YR2012,Bolivia,90.387375,9.75694359826456,4.07781777900859,2.07,16.7
YR2013,United States,100.0,34.5518131888554,17.0051664841015,7.37,2.5
YR2013,Canada,100.0,3.91306695934121,4.2142234922632,7.07,2.5
YR2013,Chile,99.6,23.5496589252379,1.72817982279176,6.2,3.1
YR2013,Argentina,99.285774230957,15.421160233713,14.3937749617238,7.1,2.6
YR2013,Uruguay,99.611808,19.318820706205,13.1853502456862,6.44,2.5
YR2013,Brazil,99.575151,24.1347676636189,6.37366686846595,7.07,2.8
YR2013,Costa Rica,99.563517,93.8412651782217,4.5436741088915,8.22,4.9
